exp,encoder,train_condition,layer,view,task,eval_condition,target,metric,value,ci_low,ci_high,seed_sd,n_seeds,trivial,majority_rate
C,random_b,base,5,cls,real,base,obj_speed,r2,0.08334010685564083,0.0546260926826192,0.10307157105307906,0.006091952410479637,5,0.0,
C,random_b,base,5,cls,real,base,support_state,auroc,0.7561672481660626,0.7214739254169066,0.7892554131175565,0.009301059405041341,5,0.5,0.8443333333333334
C,random_b,base,5,cls,real,base,support_state,balanced_accuracy,0.5940555437663008,0.5720233058686898,0.6200626470877977,0.005665340231635501,5,0.5,0.8443333333333334
C,random_b,base,5,mean,real,base,contact_state,auroc,0.8497921759259259,0.8398258420138889,0.8610637644675926,0.0022556784336207896,5,0.5,0.6
C,random_b,base,5,mean,real,base,contact_state,balanced_accuracy,0.7566111111111111,0.7415277777777778,0.7694461805555555,0.0031906378285675627,5,0.5,0.6
C,random_b,base,5,mean,real,base,ee_obj_dist,r2,0.6236414798961588,0.5967188361385376,0.6470937261670981,0.006846735485497775,5,0.0,
C,random_b,base,5,mean,real,base,friction_slide,r2,-0.0038846760618553634,-0.041133686304156904,0.010290591395202704,0.00855117878323721,5,0.0,
C,random_b,base,5,mean,real,base,log_mass,r2,-0.0005369257028537744,-0.01670339218728615,0.008929461611434862,0.0019139181148882078,5,0.0,
C,random_b,base,5,mean,real,base,obj_pos_x,r2,0.49300038314877526,0.45513945419310536,0.5249648722453198,0.0070253644966718955,5,0.0,
C,random_b,base,5,mean,real,base,obj_pos_y,r2,0.5027479912389508,0.4642674636003519,0.5332550247256719,0.008256875915429533,5,0.0,
C,random_b,base,5,mean,real,base,obj_speed,r2,0.08825248728053939,0.059270785571492034,0.10889911875868126,0.006396429783832697,5,0.0,
C,random_b,base,5,mean,real,base,support_state,auroc,0.7602167533035388,0.7330828615695637,0.7893347842572007,0.00626482265150356,5,0.5,0.8443333333333334
C,random_b,base,5,mean,real,base,support_state,balanced_accuracy,0.6029581576272699,0.5808595193502673,0.6286837630832238,0.006872780558491796,5,0.5,0.8443333333333334
C,random_b,base,8,cls,real,base,contact_state,auroc,0.8449146064814814,0.8329213888888889,0.8555323466435185,0.003286692677580117,5,0.5,0.6
C,random_b,base,8,cls,real,base,contact_state,balanced_accuracy,0.7524444444444442,0.7331909722222223,0.7677100694444444,0.005337816402857729,5,0.5,0.6
C,random_b,base,8,cls,real,base,ee_obj_dist,r2,0.6105013641151686,0.5881234320852103,0.6293274103715703,0.004547715164547701,5,0.0,
C,random_b,base,8,cls,real,base,friction_slide,r2,-0.004750429715664017,-0.03567302348441448,0.008811859616765136,0.006484985595236063,5,0.0,
C,random_b,base,8,cls,real,base,log_mass,r2,-0.000593806518835005,-0.015858642989318567,0.009532779877769466,0.00191770795981943,5,0.0,
C,random_b,base,8,cls,real,base,obj_pos_x,r2,0.46568752114764667,0.4256195171787934,0.4998444593636637,0.009198441634066797,5,0.0,
C,random_b,base,8,cls,real,base,obj_pos_y,r2,0.47785743708058426,0.4345499548207854,0.5134392191894113,0.010617473970514575,5,0.0,
C,random_b,base,8,cls,real,base,obj_speed,r2,0.08217806316637859,0.056204879560222076,0.10055682222699777,0.0058113636692283446,5,0.0,
C,random_b,base,8,cls,real,base,support_state,auroc,0.7579343289734284,0.7274971209375161,0.7911207949017063,0.00821164919591802,5,0.5,0.8443333333333334
C,random_b,base,8,cls,real,base,support_state,balanced_accuracy,0.5935554703719844,0.5705757924333471,0.6176235057137082,0.006386954699815486,5,0.5,0.8443333333333334
C,random_b,base,8,mean,real,base,contact_state,auroc,0.854237013888889,0.8439855324074074,0.8660496498842593,0.0033329574950476987,5,0.5,0.6
C,random_b,base,8,mean,real,base,contact_state,balanced_accuracy,0.7581666666666667,0.7400677083333334,0.7778472222222221,0.007347812935715733,5,0.5,0.6
C,random_b,base,8,mean,real,base,ee_obj_dist,r2,0.626992632750386,0.6007400259706548,0.6492711363876557,0.005696506779707455,5,0.0,
C,random_b,base,8,mean,real,base,friction_slide,r2,-0.004609339401254009,-0.04374412351806975,0.009983529393054422,0.00916708201081274,5,0.0,
C,random_b,base,8,mean,real,base,log_mass,r2,-0.00056555200994719,-0.016890445367430694,0.009006872084160601,0.001932531939705719,5,0.0,
C,random_b,base,8,mean,real,base,obj_pos_x,r2,0.4890308498556797,0.45091438626322505,0.5221426910773233,0.00879622257856086,5,0.0,
C,random_b,base,8,mean,real,base,obj_pos_y,r2,0.5001606137658019,0.44678669737848714,0.5362691359254502,0.012904347921175658,5,0.0,
C,random_b,base,8,mean,real,base,obj_speed,r2,0.08854448369878982,0.06206417706036012,0.10748685379049386,0.004686448613359861,5,0.0,
C,random_b,base,8,mean,real,base,support_state,auroc,0.7638433510999645,0.7385002339321259,0.7902651584295588,0.005114155309251754,5,0.5,0.8443333333333334
C,random_b,base,8,mean,real,base,support_state,balanced_accuracy,0.6060016955481966,0.5798419795507334,0.632830818126055,0.008157885812503604,5,0.5,0.8443333333333334
C,random_b,base,11,cls,real,base,contact_state,auroc,0.84544625,0.8348040711805556,0.8567593576388889,0.0031708955255009496,5,0.5,0.6
C,random_b,base,11,cls,real,base,contact_state,balanced_accuracy,0.7500972222222223,0.7347899305555555,0.7677100694444444,0.004741301326809441,5,0.5,0.6
C,random_b,base,11,cls,real,base,ee_obj_dist,r2,0.6059593415374899,0.5801418471054984,0.6293245089295268,0.005825807812644629,5,0.0,
C,random_b,base,11,cls,real,base,friction_slide,r2,-0.005393540953932363,-0.04070314630044265,0.009098984837942043,0.007788427434110868,5,0.0,
C,random_b,base,11,cls,real,base,log_mass,r2,-0.000621088894609656,-0.016242942567745423,0.009202890968740947,0.0018069607991328203,5,0.0,
C,random_b,base,11,cls,real,base,obj_pos_x,r2,0.4654737957867067,0.40154233648325605,0.5053438162017697,0.013958331820672172,5,0.0,
C,random_b,base,11,cls,real,base,obj_pos_y,r2,0.4727946646151352,0.4320917098086867,0.5084438423203202,0.008810423415819111,5,0.0,
C,random_b,base,11,cls,real,base,obj_speed,r2,0.08329241552307294,0.05837035292324464,0.10168725784859342,0.004857686378713178,5,0.0,
C,random_b,base,11,cls,real,base,support_state,auroc,0.757280673779601,0.7266957566687167,0.7835649310583243,0.005623240599141576,5,0.5,0.8443333333333334
C,random_b,base,11,cls,real,base,support_state,balanced_accuracy,0.5940516818145033,0.5722120964484376,0.6154962476134939,0.004565544957022203,5,0.5,0.8443333333333334
C,random_b,base,11,mean,real,base,contact_state,auroc,0.8510813425925926,0.8418488049768519,0.8617336053240741,0.0020603538455722507,5,0.5,0.6
C,random_b,base,11,mean,real,base,contact_state,balanced_accuracy,0.757875,0.7390954861111111,0.7731250000000001,0.005139376853709468,5,0.5,0.6
C,random_b,base,11,mean,real,base,ee_obj_dist,r2,0.6268595440292772,0.598761367045597,0.6517969271823852,0.007924966105926941,5,0.0,
C,random_b,base,11,mean,real,base,friction_slide,r2,-0.00422529555989104,-0.04303751838709163,0.0103849285146557,0.009033048905604172,5,0.0,
C,random_b,base,11,mean,real,base,log_mass,r2,-0.0005928795055264891,-0.016832577123169407,0.00892802394683263,0.001915033435007928,5,0.0,
C,random_b,base,11,mean,real,base,obj_pos_x,r2,0.48366475483465177,0.45052005155940517,0.5143461315839106,0.006246594393455525,5,0.0,
C,random_b,base,11,mean,real,base,obj_pos_y,r2,0.5029098153452127,0.4550857517200243,0.5377294848931716,0.01051623284490721,5,0.0,
C,random_b,base,11,mean,real,base,obj_speed,r2,0.08887288924707928,0.06034893373684153,0.11004608565444414,0.005954331829375709,5,0.0,
C,random_b,base,11,mean,real,base,support_state,auroc,0.7625340002404056,0.7383879105533662,0.7872431018695565,0.003908874815261036,5,0.5,0.8443333333333334
C,random_b,base,11,mean,real,base,support_state,balanced_accuracy,0.6042421323703545,0.5807204471075755,0.6286765821052726,0.005451675325782595,5,0.5,0.8443333333333334
C,raw_pixel,base,0,mean,real,base,contact_state,auroc,0.9096679398148148,0.902869994212963,0.9165029166666666,0.0013557210254640823,5,0.5,0.6
C,raw_pixel,base,0,mean,real,base,contact_state,balanced_accuracy,0.8135416666666668,0.8038177083333333,0.8250694444444444,0.0023111545134813253,5,0.5,0.6
C,raw_pixel,base,0,mean,real,base,ee_obj_dist,r2,0.7829903699899056,0.7563625891824987,0.8047964164644661,0.006867501075667411,5,0.0,
C,raw_pixel,base,0,mean,real,base,friction_slide,r2,-0.0032510220425707725,-0.036338194005025484,0.010556296698114238,0.007353603115148265,5,0.0,
C,raw_pixel,base,0,mean,real,base,log_mass,r2,-0.005045857254157737,-0.027463397889732132,0.007343660055531035,0.003971079666808895,5,0.0,
C,raw_pixel,base,0,mean,real,base,obj_pos_x,r2,0.7692861151975016,0.73852857741834,0.7945580942839898,0.007188583161639538,5,0.0,
C,raw_pixel,base,0,mean,real,base,obj_pos_y,r2,0.6824956215751481,0.6477909022154801,0.7124463920391022,0.006423572248407423,5,0.0,
C,raw_pixel,base,0,mean,real,base,obj_speed,r2,0.21246401091717643,0.17348716260120436,0.24580301574026167,0.009778911834128377,5,0.0,
C,raw_pixel,base,0,mean,real,base,support_state,auroc,0.8328016320401103,0.8119547377420101,0.8581542419770676,0.005275672864344494,5,0.5,0.8443333333333334
C,raw_pixel,base,0,mean,real,base,support_state,balanced_accuracy,0.7083131972717409,0.6842607473106488,0.7301597420488711,0.004127411112617095,5,0.5,0.8443333333333334
