exp,seed,encoder,train_condition,layer,view,task,eval_condition,target,n_rows,n_scenes,metric,value,ci_low,ci_high,trivial,majority_rate
D,0,dinov2_b,base,11,cls,real,base,contact_state,6000,600,balanced_accuracy,0.888263888888889,0.8808315972222223,0.8961805555555555,0.5,0.6
D,0,dinov2_b,base,11,cls,real,base,contact_state,6000,600,auroc,0.9608354166666667,0.9571787413194445,0.964582259837963,0.5,0.6
D,0,dinov2_b,base,11,cls,real,base,ee_obj_dist,6000,600,r2,0.9226679168112131,0.9176751843256391,0.927509296271899,0.0,
D,0,dinov2_b,base,11,cls,real,base,friction_slide,6000,600,r2,-0.010164437311045216,-0.028566342025785292,0.0003881351139616351,0.0,
D,0,dinov2_b,base,11,cls,real,base,log_mass,6000,600,r2,-0.009763273719236576,-0.022248644823308527,-0.0017280196217206662,0.0,
D,0,dinov2_b,base,11,cls,real,base,obj_pos_x,6000,600,r2,0.891865187733618,0.882035970346821,0.9004237943896468,0.0,
D,0,dinov2_b,base,11,cls,real,base,obj_pos_y,6000,600,r2,0.8537451144917085,0.8386659707781874,0.8664008493903929,0.0,
D,0,dinov2_b,base,11,cls,real,base,obj_speed,6000,600,r2,0.2405662415326172,0.21472806199723246,0.2620187639260612,0.0,
D,0,dinov2_b,base,11,cls,real,base,support_state,6000,600,balanced_accuracy,0.7375428075315895,0.7201088941494395,0.7548658457248161,0.5,0.8443333333333334
D,0,dinov2_b,base,11,cls,real,base,support_state,6000,600,auroc,0.8930612700363764,0.8809139091372896,0.9047804577626412,0.5,0.8443333333333334
D,0,dinov2_b,base,11,mean,real,base,contact_state,6000,600,balanced_accuracy,0.8936805555555556,0.8870138888888889,0.9003472222222222,0.5,0.6
D,0,dinov2_b,base,11,mean,real,base,contact_state,6000,600,auroc,0.9612762731481481,0.9576549537037037,0.9648625810185185,0.5,0.6
D,0,dinov2_b,base,11,mean,real,base,ee_obj_dist,6000,600,r2,0.936544407303394,0.9319802353987182,0.9408643338083357,0.0,
D,0,dinov2_b,base,11,mean,real,base,friction_slide,6000,600,r2,-0.008302400711793112,-0.028153776629255417,0.004433075283998427,0.0,
D,0,dinov2_b,base,11,mean,real,base,log_mass,6000,600,r2,-0.00819736293302964,-0.02235706631282456,0.0013534006070219872,0.0,
D,0,dinov2_b,base,11,mean,real,base,obj_pos_x,6000,600,r2,0.9142585902328922,0.9046920362677434,0.9224391311205264,0.0,
D,0,dinov2_b,base,11,mean,real,base,obj_pos_y,6000,600,r2,0.894069947064918,0.8805491917651079,0.9051181827659005,0.0,
D,0,dinov2_b,base,11,mean,real,base,obj_speed,6000,600,r2,0.23902020039110372,0.21294669746622008,0.2612439980347742,0.0,
D,0,dinov2_b,base,11,mean,real,base,support_state,6000,600,balanced_accuracy,0.7516169855551262,0.7331124876987055,0.7693062810037966,0.5,0.8443333333333334
D,0,dinov2_b,base,11,mean,real,base,support_state,6000,600,auroc,0.894998228945373,0.8826492326071026,0.9069928144445052,0.5,0.8443333333333334
D,0,dinov2_b,base,2,cls,real,base,contact_state,6000,600,balanced_accuracy,0.7854166666666667,0.7753472222222222,0.7950711805555555,0.5,0.6
D,0,dinov2_b,base,2,cls,real,base,contact_state,6000,600,auroc,0.8853714120370371,0.8784251909722222,0.8924550173611112,0.5,0.6
D,0,dinov2_b,base,2,cls,real,base,ee_obj_dist,6000,600,r2,0.7847400603588556,0.7742003926682411,0.7962340618837028,0.0,
D,0,dinov2_b,base,2,cls,real,base,friction_slide,6000,600,r2,-0.017407648963814415,-0.038014580547180495,-0.004335371232579145,0.0,
D,0,dinov2_b,base,2,cls,real,base,log_mass,6000,600,r2,-0.0012133040516544291,-0.012013095379574684,0.004315144193903416,0.0,
D,0,dinov2_b,base,2,cls,real,base,obj_pos_x,6000,600,r2,0.7616742092292916,0.7467731216694692,0.7745544237445596,0.0,
D,0,dinov2_b,base,2,cls,real,base,obj_pos_y,6000,600,r2,0.731409592443065,0.7122323638728925,0.748557541494413,0.0,
D,0,dinov2_b,base,2,cls,real,base,obj_speed,6000,600,r2,0.14463957996309162,0.122460279347638,0.16369563925258174,0.0,
D,0,dinov2_b,base,2,cls,real,base,support_state,6000,600,balanced_accuracy,0.6806420770455258,0.663311473976127,0.6997817122559352,0.5,0.8443333333333334
D,0,dinov2_b,base,2,cls,real,base,support_state,6000,600,auroc,0.8091018681878857,0.7909020287055942,0.8277774977417306,0.5,0.8443333333333334
D,0,dinov2_b,base,2,mean,real,base,contact_state,6000,600,balanced_accuracy,0.8356944444444445,0.8270815972222223,0.844375,0.5,0.6
D,0,dinov2_b,base,2,mean,real,base,contact_state,6000,600,auroc,0.9176063657407407,0.912265318287037,0.9232961805555555,0.5,0.6
D,0,dinov2_b,base,2,mean,real,base,ee_obj_dist,6000,600,r2,0.8864112470063417,0.8794283465204932,0.8935313665276593,0.0,
D,0,dinov2_b,base,2,mean,real,base,friction_slide,6000,600,r2,-0.017932800922551673,-0.03909375886374084,-0.004989467168285659,0.0,
D,0,dinov2_b,base,2,mean,real,base,log_mass,6000,600,r2,-0.0028862421390272175,-0.014911084231597139,0.004790225936318681,0.0,
